DOI,title,year,num_citations,num_views,document_type,num_authors,num_references,num_figures,num_equations,num_countries,num_words_title,num_words_abstract,prop_words_abs,prop_simple_words_abs,first_au_F,last_au_F
10.1371/journal.pcbi.0010033,ISMB 2005 conference report,2005,0,3526,Article,1,0,0,0,0,4,NA,0,0,NA,NA
10.1371/journal.pcbi.0010031,"Functional coverage of the human genome by existing structures, structural genomics targets, and homology models",2005,49,10761,Article,2,53,0,1,1,15,276,0.896,0.312,0.953,0.003
10.1371/journal.pcbi.0010034,Will a Biological Database Be Different from a Biological Journal?,2005,73,19719,Article,1,1,0,0,0,10,NA,0,0,0.003,0.003
10.1371/journal.pcbi.0010045,Protein Molecular Function Prediction by Bayesian Phylogenomics,2005,132,20334,Article,4,72,6,2,1,7,216,0.882,0.244,0.997,0.003
10.1371/journal.pcbi.0010077,The enghth annual bio-ontologies metting,2005,0,4337,Article,4,12,0,0,0,6,NA,0,0,0.004,0.866
10.1371/journal.pcbi.0010001,Ab initio prediction of transcription factor targets using structural knowledge,2005,91,16443,Article,3,41,6,2,1,10,134,0.977,0.349,0.016,1
10.1371/journal.pcbi.0010002,What makes ribosome-mediated transcriptional attenuation sensitive to amino acid limitation?,2005,18,9840,Article,2,46,6,17,1,11,421,0.983,0.377,0.012,NA
10.1371/journal.pcbi.0010003,Predicting functional gene links from phylogenetic-statistical analyses of whole genomes,2005,124,19056,Article,2,40,6,3,1,11,244,0.963,0.348,0.004,0.003
10.1371/journal.pcbi.0010004,PLoS Computational Biology: A New Community Journal,2005,3,8261,Editorial,3,0,0,0,0,7,NA,0,0,0.003,0.005
10.1371/journal.pcbi.0010005,An Open Forum for Computational Biology,2005,0,4996,Article,1,0,1,0,0,6,NA,0,0,0.005,0.005
10.1371/journal.pcbi.0010006,"""Antedisciplinary"" Science",2005,26,60901,Article,1,4,0,0,0,2,NA,0,0,0.007,0.007
10.1371/journal.pcbi.0010007,Susceptibility to superhelically driven dna duplex destabilization: a highly conserved property of yeast replication origins,2005,17,3958,Article,2,28,5,0,1,15,235,0.934,0.349,0,0.003
10.1371/journal.pcbi.0010008,Combinatorial pattern discovery approach for the folding trajectory analysis of a β-hairpm,2005,6,4719,Article,2,37,5,1,1,13,323,0.954,0.322,1,NA
10.1371/journal.pcbi.0010009,Improving the precision of the structure-function relationship by considering phylogenetic context,2005,12,6909,Article,1,29,1,2,1,12,189,1,0.353,0,0
10.1371/journal.pcbi.0010010,Extraction of Transcript Diversity from Scientific Literature,2005,28,7479,Article,4,49,4,1,1,7,242,0.938,0.271,NA,0
10.1371/journal.pcbi.0010011,A phenomenological theory of spatially structured local synaptic connectivity,2005,17,5905,Article,1,39,4,28,1,9,249,0.986,0.366,NA,NA
